CTE, steer_value
0.8035,-0.14013
0.7947,-0.138596
0.7849,-0.136887
0.7624,-0.132963
0.7497,-0.130748
0.736,-0.128358
0.7058,-0.123092
0.6892,-0.120196
0.6717,-0.117144
0.6341,-0.110587
0.6139,-0.107064
0.5929,-0.103402
0.5484,-0.095641
0.525,-0.09156
0.5007,-0.0873221
0.4501,-0.0784974
0.4236,-0.0738758
0.3966,-0.069167
0.3405,-0.0593832
0.3116,-0.054343
0.2821,-0.0491982
0.2217,-0.0386645
0.1916,-0.033415
0.1625,-0.02834
0.1346,-0.0234742
0.083,-0.0144752
0.0558,-0.00973152
-0.0137,0.00238928
-0.0353,0.00615632
-0.057,0.0099408
-0.1004,0.0175098
-0.122,0.0212768
-0.1436,0.0250438
-0.1864,0.0325082
-0.2075,0.036188
-0.2283,0.0398155
-0.2489,0.0434082
-0.2891,0.050419
-0.3086,0.0538198
-0.3277,0.0571509
-0.3644,0.0635514
-0.382,0.0666208
-0.3989,0.0695682
-0.4309,0.075149
-0.4459,0.077765
-0.4601,0.0802414
-0.4735,0.0825784
-0.498,0.0868512
-0.5089,0.0887522
-0.519,0.0905136
-0.5362,0.0935133
-0.5434,0.094769
-0.5496,0.0958502
-0.5588,0.0974547
-0.5618,0.0979779
-0.5637,0.0983093
-0.5642,0.0983965
-0.5628,0.0981523
-0.5601,0.0976814
-0.5514,0.0961642
-0.5453,0.0951003
-0.538,0.0938272
-0.5199,0.0906706
-0.509,0.0887696
-0.497,0.0866768
-0.4694,0.0818634
-0.4539,0.0791602
-0.4372,0.0762477
-0.4005,0.0698472
-0.3804,0.0663418
-0.3593,0.0626619
-0.3139,0.0547442
-0.2896,0.0505062
-0.2381,0.0415246
-0.2109,0.036781
-0.1828,0.0318803
-0.1241,0.021643
-0.0935,0.0163064
-0.0621,0.0108302
0.0047,-0.00081968
0.0417,-0.00727248
0.1229,-0.0214338
0.1671,-0.0291422
0.2136,-0.0372518
0.3121,-0.0544302
0.3623,-0.0631851
0.4125,-0.07194
0.5128,-0.0894323
0.5628,-0.0981523
0.6125,-0.10682
0.7105,-0.123911
0.7587,-0.132317
0.8527,-0.148711
0.8985,-0.156698
0.9431,-0.164477
1.0289,-0.17944
1.0699,-0.186591
1.1474,-0.200107
1.1838,-0.206455
1.2185,-0.212506
1.2823,-0.223633
1.3113,-0.228691
1.3631,-0.237725
1.3858,-0.241684
1.4062,-0.245241
1.4401,-0.251153
1.4535,-0.25349
1.4729,-0.256874
1.4789,-0.25792
1.4823,-0.258513
1.4815,-0.258374
1.4772,-0.257624
1.4608,-0.254764
1.4487,-0.252653
1.434,-0.25009
1.3969,-0.243619
1.3746,-0.23973
1.3224,-0.230627
1.2926,-0.225429
1.2603,-0.219796
1.1888,-0.207327
1.1496,-0.20049
1.0646,-0.185666
1.0188,-0.177679
0.971,-0.169342
0.8695,-0.151641
0.816,-0.14231
0.7606,-0.132649
0.6449,-0.112471
0.5846,-0.101954
0.5228,-0.0911763
0.3952,-0.0689229
0.3295,-0.0574648
0.1957,-0.0341301
0.1297,-0.0226197
0.0665,-0.0115976
-0.0672,0.0117197
-0.1282,0.0223581
-0.1899,0.0331186
-0.2507,0.0437221
-0.371,0.0647024
-0.4313,0.0752187
-0.4913,0.0856827
-0.6103,0.106436
-0.6691,0.116691
-0.7271,0.126806
-0.8406,0.146601
-0.8958,0.156228
-0.9497,0.165628
-1.0532,0.183678
-1.1027,0.192311
-1.1505,0.200647
-1.2403,0.216308
-1.2822,0.223616
-1.3219,0.230539
-1.3944,0.243183
-1.427,0.248869
-1.457,0.254101
-1.5092,0.263204
-1.5312,0.267041
-1.5503,0.270372
-1.58,0.275552
-1.5904,0.277366
-1.5977,0.278639
-1.6034,0.279633
-1.6017,0.279336
-1.5968,0.278482
-1.578,0.275203
-1.5641,0.272779
-1.5471,0.269814
-1.5041,0.262315
-1.4782,0.257798
-1.4493,0.252758
-1.3831,0.241213
-1.3457,0.23469
-1.2628,0.220232
-1.2174,0.212315
-1.1694,0.203943
-1.0661,0.185928
-1.0108,0.176284
-0.9533,0.166256
-0.8316,0.145031
-0.7676,0.133869
-0.6338,0.110535
-0.564,0.0983616
-0.4194,0.0731434
-0.3446,0.0600982
-0.2684,0.046809
-0.1119,0.0195154
-0.0317,0.00552848
0.1318,-0.0229859
