CTE, steer_value
0.6614,-0.137763
0.6852,-0.142208
0.6965,-0.144477
0.7172,-0.148394
0.7267,-0.150362
0.7441,-0.153715
0.7519,-0.155398
0.7658,-0.15815
0.7772,-0.160471
0.782,-0.161643
0.7862,-0.162712
0.7926,-0.164168
0.7948,-0.164892
0.7972,-0.165652
0.7974,-0.166029
0.7957,-0.166073
0.7913,-0.165645
0.7882,-0.165442
0.7796,-0.164276
0.7742,-0.163666
0.7615,-0.161777
0.7542,-0.160827
0.746,-0.159716
0.7278,-0.156854
0.6953,-0.151484
0.6702,-0.147394
0.6564,-0.145268
0.6273,-0.140462
0.6119,-0.138038
0.579,-0.132548
0.5615,-0.129737
0.525,-0.123596
0.506,-0.120499
0.4661,-0.113741
0.4451,-0.110269
0.402,-0.102924
0.3799,-0.0992328
0.3339,-0.0913535
0.2861,-0.0831397
0.2614,-0.078944
0.2112,-0.0702796
0.1858,-0.0659294
0.1336,-0.056883
0.1069,-0.0522723
0.053,-0.0428948
0.026,-0.0381972
-0.0286,-0.0286627
-0.0555,-0.0239475
-0.1078,-0.0147802
-0.1335,-0.010241
-0.1567,-0.00612777
-0.2005,0.00159683
-0.2216,0.0053716
-0.2612,0.0123897
-0.28,0.0157884
-0.2985,0.0191427
-0.3353,0.0257042
-0.3535,0.0290297
-0.3891,0.035405
-0.4066,0.0386312
-0.4408,0.0447845
-0.4576,0.0479105
-0.4739,0.0509562
-0.5057,0.0567187
-0.5211,0.0596277
-0.5506,0.0650084
-0.5648,0.0677268
-0.5918,0.0726891
-0.6047,0.0751979
-0.6169,0.0775899
-0.6401,0.0819101
-0.6509,0.0840725
-0.6708,0.0878304
-0.6799,0.0897087
-0.6884,0.091486
-0.7036,0.0944382
-0.7102,0.0958935
-0.7216,0.0981908
-0.7263,0.0993216
-0.7336,0.100909
-0.7363,0.101695
-0.7382,0.102343
-0.74,0.102974
-0.7398,0.103256
-0.7373,0.103136
-0.7349,0.103032
-0.7279,0.102123
-0.7233,0.10163
-0.718,0.101014
-0.7051,0.099066
-0.6975,0.0980394
-0.6802,0.0953136
-0.6704,0.0938917
-0.6487,0.0903851
-0.6368,0.0885825
-0.6241,0.086635
-0.5968,0.0821295
-0.5821,0.0798152
-0.5507,0.0745749
-0.534,0.0718912
-0.4988,0.065966
-0.4803,0.0629453
-0.4611,0.0597944
-0.4212,0.0530162
-0.4005,0.0495777
-0.3574,0.0422142
-0.335,0.0384511
-0.2891,0.03057
-0.2655,0.0265679
-0.2172,0.0182374
-0.1924,0.0139947
-0.142,0.00526578
-0.0906,-0.00365957
-0.0645,-0.00818378
-0.0117,-0.0173871
0.0149,-0.0220325
0.0698,-0.031637
0.099,-0.0367719
0.1612,-0.0476886
0.193,-0.0533172
0.2607,-0.0652357
0.2959,-0.0715014
0.3682,-0.0842682
0.4044,-0.0907547
0.4756,-0.103376
0.5453,-0.115765
0.5794,-0.12196
0.613,-0.128083
0.6782,-0.139744
0.7409,-0.150996
0.7711,-0.156594
0.8289,-0.167029
0.8564,-0.172192
0.9087,-0.181702
0.9333,-0.186392
0.9792,-0.194817
1.0005,-0.19896
1.0395,-0.206207
1.0736,-0.212614
1.0887,-0.215714
1.1148,-0.220743
1.1257,-0.223126
1.1434,-0.226703
1.15,-0.228346
1.1588,-0.230378
1.161,-0.231259
1.1607,-0.231703
1.1543,-0.231082
1.1487,-0.230597
1.1329,-0.228327
1.1226,-0.227012
1.0974,-0.223087
1.0825,-0.220952
1.0479,-0.215367
1.0283,-0.212389
0.9846,-0.205189
0.9605,-0.201398
0.908,-0.192631
0.8797,-0.188072
0.7863,-0.17212
0.6808,-0.154012
0.6041,-0.140895
0.564,-0.134143
0.4807,-0.119821
0.4375,-0.112475
0.3483,-0.0970672
0.3024,-0.0891918
0.2082,-0.0728525
0.1111,-0.0559659
0.0617,-0.0473769
0.0117,-0.038662
-0.0896,-0.0209569
-0.1408,-0.0119673
-0.2438,0.00610037
-0.2957,0.0152784
-0.3994,0.0335348
-0.4512,0.042762
-0.551,0.0604031
-0.5988,0.068996
-0.6532,0.0787631
-0.7331,0.0930117
-0.7744,0.100546
-0.8523,0.114497
-0.8891,0.121296
-0.96,0.134072
-0.9941,0.140445
-1.0271,0.14664
-1.0899,0.158059
-1.1196,0.163719
-1.1753,0.173936
-1.2011,0.17895
-1.2487,0.187786
-1.2703,0.192098
-1.2903,0.196138
-1.3256,0.202863
-1.3408,0.206088
-1.3661,0.211085
-1.3761,0.213419
-1.3844,0.215459
-1.3954,0.217976
-1.3982,0.219063
-1.3981,0.219644
-1.3952,0.219736
-1.3836,0.218306
-1.3643,0.215524
-1.3021,0.205234
-1.2817,0.202226
-1.2594,0.198876
-1.2091,0.190622
-1.1811,0.186244
-1.1197,0.176016
-1.0864,0.170674
-1.0145,0.158569
-0.9761,0.15229
-0.8944,0.138425
-0.8512,0.131255
-0.7604,0.115746
-0.7129,0.107767
-0.6139,0.0907643
-0.5626,0.0820586
-0.4565,0.0637503
-0.3462,0.0446623
-0.2896,0.0349153
-0.2322,0.0250042
-0.1153,0.00466627
-0.0558,-0.00568663
0.0645,-0.0266946
0.1253,-0.0373518
0.2475,-0.0587695
0.3089,-0.06961
0.4316,-0.0911937
0.4928,-0.102078
0.6143,-0.123531
0.6744,-0.134301
0.7927,-0.155272
0.8509,-0.165787
0.9646,-0.186029
1.0744,-0.205639
1.1276,-0.2154
1.2301,-0.233803
1.2792,-0.242914
1.3728,-0.259826
1.4187,-0.268438
1.6847,-0.31555
1.5753,-0.297146
1.6472,-0.310391
1.6911,-0.318771
1.7808,-0.335178
1.865,-0.350661
1.9388,-0.364363
1.9717,-0.370945
2.0286,-0.381737
2.0526,-0.386802
2.0914,-0.394465
2.106,-0.397913
2.1255,-0.402224
2.1302,-0.403957
2.1297,-0.404782
2.1243,-0.40475
2.1155,-0.404122
2.0875,-0.400133
2.0683,-0.39767
2.0196,-0.390042
1.9901,-0.38575
1.9571,-0.380833
1.8811,-0.368384
1.838,-0.361655
1.7421,-0.345676
1.6893,-0.337191
1.6334,-0.328142
1.5124,-0.307688
1.4474,-0.296972
1.3089,-0.273378
1.2355,-0.261106
1.1595,-0.248349
1.0002,-0.220995
0.9169,-0.20686
0.8315,-0.192323
0.6545,-0.161734
0.5631,-0.146035
0.47,-0.13
0.279,-0.0968093
0.1813,-0.079848
-0.0177,-0.0451349
-0.1188,-0.0274521
-0.2206,-0.00960371
-0.4261,0.026418
-0.5296,0.0446953
-0.6332,0.0630344
-0.8402,0.0994951
-0.9435,0.117915
-1.0463,0.136291
-1.2499,0.172335
-1.3505,0.190458
-1.45,0.208432
-1.5483,0.226238
-1.8342,0.276885
-2.3774,0.372638
-2.205,0.343516
-2.2659,0.355107
-2.3413,0.36926
-2.4792,0.394372
-2.5421,0.40643
-2.6016,0.417922
-2.6575,0.428809
-2.7582,0.447553
-2.8028,0.456531
-2.88,0.471229
-2.9124,0.478127
-2.9405,0.484287
-2.9641,0.489673
-2.9977,0.496817
-3.0076,0.499832
-3.0134,0.502134
-3.0092,0.502691
-3.0001,0.502389
-2.9676,0.497992
-2.944,0.495137
-2.9157,0.491451
-2.8445,0.480252
-2.8017,0.473988
-2.702,0.457758
-2.6451,0.448967
-2.5177,0.427827
-2.4474,0.416615
-2.3727,0.404604
-2.2107,0.377298
-2.1236,0.363018
-1.9377,0.331427
-1.8391,0.315019
-1.6313,0.279477
-1.5223,0.26112
-1.2952,0.222068
-1.1771,0.201976
-0.9333,0.159857
-0.8076,0.138281
-0.55,0.093591
-0.4182,0.0707843
-0.1498,0.0240395
0.1244,-0.0238343
0.2632,-0.0481538
0.5427,-0.097131
0.9649,-0.171176
1.5284,-0.270105
-2.8112,0.487925
-2.421,0.420912
2.334,-0.40936
2.4043,-0.422651
2.6904,-0.473699
2.8387,-0.500778
3.1297,-0.552869
3.272,-0.579088
3.5411,-0.627536
3.6673,-0.651116
3.9018,-0.693685
4.0108,-0.714412
4.2134,-0.751551
4.3076,-0.769824
4.4853,-0.802737
4.5722,-0.819851
4.7449,-0.852002
4.8307,-0.869035
4.9988,-0.900493
5.0772,-0.916341
5.2177,-0.943079
5.2827,-0.956678
5.4037,-0.980095
5.4606,-0.992358
5.5679,-1
5.619,-1
5.7164,-1
5.764,-1
5.8141,-1
5.9141,-1
5.9489,-1
5.9889,-1
5.9965,-1
5.9983,-1
5.9923,-1
5.9858,-1
5.9774,-1
5.9523,-1
5.9344,-1
5.8895,-1
5.8621,-1
5.8308,-1
5.7122,-1
5.553,-1
5.4925,-1
5.3769,-1
5.3203,-1
5.2656,-1
5.1756,-1
5.135,-0.999308
5.053,-0.987171
5.0124,-0.982238
4.9714,-0.977217
4.8912,-0.965325
4.8511,-0.96041
4.8115,-0.955565
4.733,-0.943902
4.6941,-0.939129
4.6555,-0.934391
4.5804,-0.923256
4.5432,-0.918714
4.5023,-0.91351
4.4097,-0.899249
4.3595,-0.892362
4.2481,-0.874754
4.1866,-0.865821
4.1236,-0.856601
3.9719,-0.831846
3.8859,-0.818512
3.7957,-0.804407
3.6093,-0.773445
3.5125,-0.758068
3.3134,-0.724764
3.2109,-0.708263
3.0005,-0.672855
2.8929,-0.655329
2.7803,-0.636882
2.67,-0.61879
2.4385,-0.579461
2.3199,-0.559771
2.0799,-0.518806
1.9581,-0.498403
1.8336,-0.477475
1.7095,-0.456564
1.4555,-0.41289
1.3256,-0.390804
1.1967,-0.368836
1.0648,-0.346289
0.7992,-0.300311
0.6662,-0.277401
0.2572,-0.206181
-0.1574,-0.133808
-0.2986,-0.109054
-0.4377,-0.0846079
-0.7192,-0.0352062
-0.8615,-0.0100201
-1.0014,0.0148074
-1.1435,0.0400795
-1.4259,0.0899409
-1.5658,0.11501
-1.9387,0.180874
-2.0662,0.203996
-2.3203,0.249305
-2.4472,0.272484
-2.5711,0.295194
-2.696,0.318131
-2.8172,0.340475
-3.0583,0.383833
-3.1781,0.406088
-3.5502,0.472503
-3.5651,0.476628
-3.6479,0.492631
-3.7187,0.506572
-3.8142,0.524861
-3.9248,0.545831
-4.0311,0.566096
-4.2284,0.602317
-4.3193,0.62002
-4.41,0.637727
-4.5888,0.670876
-4.6779,0.688419
-4.7662,0.70586
-4.8546,0.723356
-5.0303,0.756153
-5.1151,0.773134
-5.1799,0.786654
-5.3007,0.809992
-5.3568,0.82207
-5.4072,0.833176
-5.4971,0.85121
-5.5348,0.860156
-5.5704,0.86875
-5.6028,0.876801
-5.6572,0.888712
-5.6797,0.895069
-5.7161,0.903866
-5.7301,0.908762
-5.7415,0.913209
-5.7587,0.918676
-5.7672,0.922629
-5.784,0.928036
-5.7923,0.931965
-5.8005,0.93588
-5.8224,0.942194
-5.8262,0.945352
-5.8358,0.949526
-5.8403,0.952813
-5.835,0.954388
-5.8186,0.95402
-5.8084,0.95473
-5.7843,0.953004
-5.7709,0.953139
-5.7569,0.953164
-5.7291,0.95077
-5.716,0.950934
-5.6947,0.949658
-5.6853,0.950455
-5.6771,0.951456
-5.6637,0.951546
-5.6576,0.952905
-5.6497,0.953948
-5.6481,0.956088
-5.6481,0.958508
-5.6526,0.961714
-5.6568,0.964869
-5.6682,0.969286
-5.6749,0.972885
-5.6821,0.976575
-5.6966,0.981544
-5.7036,0.985208
-5.7169,0.989976
-5.723,0.993492
-5.7285,0.996905
-5.7371,1
-5.7395,1
-5.7424,1
-5.7437,1
-5.7451,1
