CTE, steer_value
0.3208,-0.068825
0.3231,-0.0621561
0.327,-0.0668763
0.3286,-0.0613478
0.33,-0.061087
0.3324,-0.0640306
0.3332,-0.0601301
0.3344,-0.0613494
0.3348,-0.0593991
0.3349,-0.0586591
0.3346,-0.0575967
0.3342,-0.0572745
0.3328,-0.0545053
0.3318,-0.0553409
0.3294,-0.0513874
0.328,-0.0536682
0.3247,-0.0482952
0.3227,-0.0512289
0.3207,-0.0508801
0.3161,-0.0435128
0.3135,-0.0481094
0.3081,-0.0400976
0.3052,-0.0459044
0.3022,-0.0451287
0.2957,-0.0351576
0.2923,-0.0423921
0.2852,-0.0318114
0.2814,-0.0394812
0.2777,-0.0390884
0.2698,-0.0271056
0.2656,-0.0357156
0.2572,-0.0236457
0.253,-0.0335182
0.2396,-0.00795124
0.2351,-0.0296389
0.2261,-0.0167068
0.2215,-0.0270146
0.2169,-0.0262124
0.2076,-0.0127229
0.2029,-0.0235183
0.1982,-0.0226986
0.1886,-0.00865184
0.1837,-0.0196648
0.1742,-0.00639298
0.1695,-0.0176933
0.1647,-0.0166037
0.1553,-0.00334932
0.1506,-0.0143971
0.1413,-0.00116022
0.1367,-0.0122255
0.1322,-0.0116932
0.1249,-0.00335006
0.1225,-0.015304
0.1213,-0.0181247
0.1232,-0.0262836
0.1218,-0.0177069
0.1242,-0.0277205
0.1274,-0.0302986
0.1315,-0.0332861
0.1406,-0.0474981
0.1451,-0.0366679
0.1535,-0.0479804
0.1574,-0.0372981
0.1613,-0.0379782
0.1687,-0.0481063
0.1722,-0.0388692
0.1787,-0.0475778
0.1819,-0.0398034
0.1876,-0.0471099
0.1902,-0.0397359
0.1927,-0.0399194
0.1973,-0.0460241
0.1994,-0.0400779
0.2014,-0.0401742
0.205,-0.044842
0.2065,-0.0398011
0.2092,-0.043302
0.2104,-0.0397238
0.2114,-0.0393932
0.213,-0.0411872
0.2136,-0.0387668
0.2144,-0.0394114
0.2146,-0.0379312
0.2147,-0.0376962
0.2144,-0.0366339
0.2141,-0.0365815
0.2131,-0.0346396
0.2125,-0.035545
0.2117,-0.0349005
0.2098,-0.0317916
0.2088,-0.0338897
0.2063,-0.0296662
0.2049,-0.0321996
0.2034,-0.0316855
0.2001,-0.0265649
0.1983,-0.0300385
0.1965,-0.0297246
0.1905,-0.0180732
0.186,-0.0210759
0.1838,-0.0264997
0.1815,-0.0258461
0.1767,-0.0186965
0.1742,-0.024068
0.1691,-0.0166135
0.1665,-0.0224726
0.164,-0.0222891
0.1587,-0.0142948
0.1559,-0.020119
0.1532,-0.0199006
0.1477,-0.0118714
0.145,-0.0184705
0.1395,-0.0104413
0.1367,-0.0167705
0.134,-0.0165521
0.1286,-0.00879284
0.1258,-0.0148695
0.1205,-0.0076327
0.1179,-0.0139968
0.1153,-0.0135433
0.1102,-0.00634138
0.1077,-0.0124704
0.1032,-0.00663558
0.1024,-0.0158386
0.1029,-0.0192083
0.1073,-0.0298231
0.1108,-0.028161
0.1154,-0.0317408
0.128,-0.0541382
0.1357,-0.0431086
0.1512,-0.0655068
0.1586,-0.0463448
0.1727,-0.0657214
0.1794,-0.0482049
0.192,-0.0652998
0.1979,-0.0494113
0.2036,-0.0499003
0.2142,-0.0641215
0.2193,-0.0511234
0.224,-0.0509331
0.2328,-0.0628203
0.2369,-0.0516679
0.2407,-0.0515731
0.2475,-0.060334
0.2506,-0.0515321
0.2559,-0.0580115
0.2581,-0.0505676
0.2618,-0.0550004
0.2632,-0.0494371
0.2644,-0.0491414
0.266,-0.0504304
0.2665,-0.0477401
0.2667,-0.0470175
0.2665,-0.0459726
0.2653,-0.0432383
0.2644,-0.0438389
0.2632,-0.0428721
0.2604,-0.0383438
0.2586,-0.0405548
0.2546,-0.0343022
0.2523,-0.0381936
0.2473,-0.0305041
0.2446,-0.0358407
0.2417,-0.03483
0.2354,-0.0251463
0.2321,-0.0321457
0.2251,-0.0215824
0.2215,-0.0295396
0.2177,-0.0283719
0.21,-0.0171815
0.2059,-0.0255565
0.1977,-0.0137739
0.1935,-0.0231414
0.185,-0.0108015
0.1808,-0.0209265
0.1765,-0.0199241
0.1678,-0.00729682
0.1634,-0.017387
0.1547,-0.00501218
0.1503,-0.0151023
0.1418,-0.00326742
0.1376,-0.0133924
0.1334,-0.01266
0.1252,-0.00112988
0.1211,-0.0107673
0.1132,0.00020542
0.1093,-0.00921442
0.1055,-0.0088042
0.0982,0.00130642
0.0949,-0.00821806
0.0931,-0.0116916
0.0954,-0.0224453
0.0994,-0.0274354
0.1025,-0.0257035
0.1074,-0.0311031
0.1206,-0.0543626
0.1281,-0.0412781
0.1423,-0.0606721
0.1491,-0.043173
0.1557,-0.0438191
0.1684,-0.0614365
0.1745,-0.0458353
0.1858,-0.060936
0.1911,-0.0467103
0.2008,-0.059512
0.2053,-0.0471668
0.2134,-0.0576695
0.2171,-0.0472047
0.2235,-0.0551384
0.2264,-0.0468067
0.2289,-0.0462327
0.2333,-0.0517975
0.2351,-0.0455464
0.2379,-0.0485598
0.239,-0.0444591
0.2403,-0.0451908
0.2406,-0.0427181
0.2406,-0.0419606
0.24,-0.040341
0.2393,-0.0399664
0.2374,-0.0366051
0.2361,-0.0378933
