CTE, steer_value
0.4794,-0.0836074
0.4915,-0.0857176
0.5148,-0.0897811
0.5259,-0.091717
0.5369,-0.0936354
0.5579,-0.0972978
0.5678,-0.0990243
0.5869,-0.102355
0.5959,-0.103925
0.6046,-0.105442
0.6208,-0.108268
0.6284,-0.109593
0.6424,-0.112035
0.6487,-0.113133
0.6548,-0.114197
0.6655,-0.116063
0.6702,-0.116883
0.6784,-0.118313
0.6819,-0.118923
0.6874,-0.119883
0.6895,-0.120249
0.6911,-0.120528
0.693,-0.120859
0.6932,-0.120894
0.6923,-0.120737
0.6911,-0.120528
0.6894,-0.120231
0.6847,-0.119412
0.6817,-0.118888
0.678,-0.118243
0.6695,-0.116761
0.6645,-0.115889
0.6531,-0.113901
0.6466,-0.112767
0.6398,-0.111581
0.6246,-0.10893
0.6163,-0.107483
0.5984,-0.104361
0.5889,-0.102704
0.5788,-0.100943
0.5574,-0.0972106
0.5461,-0.0952398
0.5343,-0.0931819
0.5097,-0.0888917
0.4968,-0.0866419
0.4699,-0.0819506
0.4559,-0.079509
0.4416,-0.077015
0.4119,-0.0718354
0.3965,-0.0691496
0.3649,-0.0636386
0.3488,-0.0608307
0.3323,-0.0579531
0.2986,-0.0520758
0.2815,-0.0490936
0.2465,-0.0429896
0.2287,-0.0398853
0.2108,-0.0367635
0.1745,-0.0304328
0.1561,-0.0272238
0.1377,-0.0240149
0.1025,-0.017876
0.0861,-0.0150158
0.059,-0.0102896
0.0479,-0.00835376
0.0312,-0.00544128
0.0043,-0.00074992
-0.0089,0.00155216
-0.028,0.0048832
-0.0373,0.00650512
-0.0465,0.0081096
-0.0645,0.0112488
-0.0733,0.0127835
-0.082,0.0143008
-0.0989,0.0172482
-0.1072,0.0186957
-0.1231,0.0214686
-0.1308,0.0228115
-0.1383,0.0241195
-0.1527,0.0266309
-0.1595,0.0278168
-0.1662,0.0289853
-0.1787,0.0311653
-0.1845,0.0321768
-0.1955,0.0340952
-0.2006,0.0349846
-0.2053,0.0358043
-0.214,0.0373216
-0.2179,0.0380018
-0.2215,0.0386296
-0.2277,0.0397109
-0.2304,0.0401818
-0.2346,0.0409142
-0.2362,0.0411933
-0.2376,0.0414374
-0.2391,0.041699
-0.2393,0.0417339
-0.2387,0.0416293
-0.2379,0.0414898
-0.2367,0.0412805
-0.2333,0.0406875
-0.2311,0.0403038
-0.2255,0.0393272
-0.2221,0.0387342
-0.2185,0.0381064
-0.21,0.036624
-0.1947,0.0339557
-0.189,0.0329616
-0.1828,0.0318803
-0.1696,0.0295782
-0.1625,0.02834
-0.1473,0.0256891
-0.1393,0.0242939
-0.131,0.0228464
-0.1134,0.019777
-0.1042,0.0181725
-0.085,0.014824
-0.0751,0.0130974
-0.0649,0.0113186
-0.0438,0.00763872
-0.0329,0.00573776
-0.0218,0.00380192
0.0008,-0.00013952
0.0124,-0.00216256
0.0361,-0.00629584
0.0481,-0.00838864
0.0603,-0.0105163
0.0849,-0.0148066
0.0973,-0.0169691
0.1098,-0.0191491
0.1349,-0.0235266
0.1475,-0.025724
0.1749,-0.0305026
0.1903,-0.0331883
0.207,-0.0361008
0.2427,-0.0423269
0.2621,-0.0457102
0.304,-0.0530176
0.3263,-0.0569067
0.3487,-0.0608133
0.3928,-0.0685043
0.4145,-0.0722888
0.4571,-0.0797182
0.478,-0.0833632
0.4984,-0.086921
0.5382,-0.0938621
0.5574,-0.0972106
0.5945,-0.103681
0.6123,-0.106785
0.6296,-0.109802
0.6625,-0.11554
0.678,-0.118243
0.7072,-0.123336
0.7208,-0.125708
0.7459,-0.130085
0.7574,-0.132091
0.7781,-0.135701
0.7873,-0.137305
0.8033,-0.140096
0.8101,-0.141281
0.816,-0.14231
0.8252,-0.143915
0.8285,-0.14449
0.8309,-0.144909
0.8331,-0.145293
0.8328,-0.14524
0.8294,-0.144647
0.8263,-0.144107
0.8223,-0.143409
0.8115,-0.141526
0.8046,-0.140322
0.7882,-0.137462
0.7786,-0.135788
0.7681,-0.133957
0.7444,-0.129823
0.7312,-0.127521
0.7021,-0.122446
0.6863,-0.119691
0.6696,-0.116778
0.6338,-0.110535
0.6146,-0.107186
0.5741,-0.100123
0.5527,-0.0963909
0.5077,-0.0885429
0.4842,-0.0844445
0.4601,-0.0802414
0.41,-0.071504
0.3841,-0.066987
0.3307,-0.0576741
0.2753,-0.0480123
0.189,-0.0329616
0.1594,-0.0277994
0.1297,-0.0226197
0.0694,-0.0121034
0.039,-0.0068016
-0.022,0.0038368
-0.0527,0.00919088
-0.0832,0.0145101
-0.1409,0.024573
-0.168,0.0292992
-0.2185,0.0381064
-0.2403,0.0419083
-0.2614,0.0455882
-0.3,0.05232
-0.3176,0.0553894
-0.3516,0.061319
-0.3679,0.0641618
-0.3837,0.0669173
-0.4137,0.0721493
-0.4279,0.0746258
-0.4543,0.0792299
-0.4665,0.0813576
-0.489,0.0852816
-0.4991,0.087043
-0.5085,0.0886824
-0.525,0.09156
-0.5321,0.0927982
-0.5383,0.0938795
-0.5482,0.0956061
-0.5519,0.0962514
-0.5566,0.097071
-0.5576,0.0972454
-0.5577,0.0972629
